
Balance de criminalidad. 2024 - 2º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
    1. Homicidios dolosos y asesinatos consumados,100.0,
14038 Lucena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14042 Montilla,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14049 Palma del Río,
    1. Homicidios dolosos y asesinatos consumados,100.0,
14055 Priego de Córdoba,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14056 Puente Genil,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de GRANADA,
    1. Homicidios dolosos y asesinatos consumados,-14.3,
18017 Almuñécar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18021 Armilla,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18022 Atarfe,
    1. Homicidios dolosos y asesinatos consumados,100.0,
18023 Baza,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18905 Gabias (Las),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
18087 Granada,
    1. Homicidios dolosos y asesinatos consumados,100.0,
18122 Loja,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18127 Maracena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18140 Motril,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
Provincia de HUELVA,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
21002 Aljaraque,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21005 Almonte,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21010 Ayamonte,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21021 Cartaya,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21041 Huelva,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21042 Isla Cristina,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21044 Lepe,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
21050 Moguer,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de JAÉN,
    1. Homicidios dolosos y asesinatos consumados,100.0,
23002 Alcalá la Real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23005 Andújar,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
23050 Jaén,
    1. Homicidios dolosos y asesinatos consumados,100.0,
23055 Linares,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23060 Martos,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23092 Úbeda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de MÁLAGA,
    1. Homicidios dolosos y asesinatos consumados,-15.4,
29007 Alhaurín de la Torre,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29008 Alhaurín el Grande,
    1. Homicidios dolosos y asesinatos consumados,100.0,
29015 Antequera,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
29025 Benalmádena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29038 Cártama,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29042 Coín,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29051 Estepona,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
29054 Fuengirola,
    1. Homicidios dolosos y asesinatos consumados,200.0,
29067 Málaga,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29069 Marbella,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
29070 Mijas,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29075 Nerja,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
29082 Rincón de la Victoria,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29084 Ronda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29901 Torremolinos,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
29091 Torrox,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29094 Vélez-Málaga,
    1. Homicidios dolosos y asesinatos consumados,100.0,
Provincia de SEVILLA,
    1. Homicidios dolosos y asesinatos consumados,-22.2,
41004 Alcalá de Guadaíra,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41017 Bormujos,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41021 Camas,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41024 Carmona,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41034 Coria del Río,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41038 Dos Hermanas,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41039 Écija,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41053 Lebrija,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41058 Mairena del Alcor,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41059 Mairena del Aljarafe,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41065 Morón de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
41069 Palacios y Villafranca (Los),
    1. Homicidios dolosos y asesinatos consumados,0.0,
41081 Rinconada (La),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
41086 San Juan de Aznalfarache,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41091 Sevilla,
    1. Homicidios dolosos y asesinatos consumados,66.7,
41093 Tomares,
    1. Homicidios dolosos y asesinatos consumados,0.0,
41095 Utrera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
ARAGÓN,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de HUESCA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
22125 Huesca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de TERUEL,
    1. Homicidios dolosos y asesinatos consumados,0.0,
44216 Teruel,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de ZARAGOZA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
50297 Zaragoza,
    1. Homicidios dolosos y asesinatos consumados,150.0,
ASTURIAS (PRINCIPADO DE),
    1. Homicidios dolosos y asesinatos consumados,0.0,
33004 Avilés,
    1. Homicidios dolosos y asesinatos consumados,0.0,
33016 Castrillón,
    1. Homicidios dolosos y asesinatos consumados,0.0,
33024 Gijón,
    1. Homicidios dolosos y asesinatos consumados,0.0,
33031 Langreo,
    1. Homicidios dolosos y asesinatos consumados,100.0,
33037 Mieres,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
33044 Oviedo,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
33066 Siero,
    1. Homicidios dolosos y asesinatos consumados,0.0,
BALEARS (ILLES),
    1. Homicidios dolosos y asesinatos consumados,50.0,
Isla de Formentera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla  de Eivissa,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07026 Eivissa,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07046 Sant Antoni de Portmany,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07048 Sant Josep de sa Talaia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07054 Santa Eulària des Riu,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Mallorca,
    1. Homicidios dolosos y asesinatos consumados,50.0,
07003 Alcudia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07011 Calvià,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07027 Inca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07031 Llucmajor,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
07033 Manacor,
    1. Homicidios dolosos y asesinatos consumados,100.0,
07036 Marratxí,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07040 Palma,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
Isla de Menorca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07015 Ciutadella de Menorca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
07032 Maó-Mahón,
    1. Homicidios dolosos y asesinatos consumados,0.0,
CANARIAS,
    1. Homicidios dolosos y asesinatos consumados,-14.3,
Provincia de PALMAS (LAS),
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Fuerteventura,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35014 Oliva (La),
    1. Homicidios dolosos y asesinatos consumados,0.0,
35015 Pájara,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35017 Puerto del Rosario,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Gran Canaria,
    1. Homicidios dolosos y asesinatos consumados,50.0,
35002 Agüimes,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35006 Arucas,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35009 Gáldar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35011 Ingenio,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35012 Mogán,
    1. Homicidios dolosos y asesinatos consumados,100.0,
35016 Palmas de Gran Canaria (Las),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
35019 San Bartolomé de Tirajana,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35022 Santa Lucía de Tirajana,
    1. Homicidios dolosos y asesinatos consumados,100.0,
35026 Telde,
    1. Homicidios dolosos y asesinatos consumados,100.0,
Isla de Lanzarote,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
35004 Arrecife,
    1. Homicidios dolosos y asesinatos consumados,0.0,
35024 Teguise,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
35028 Tías,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de SANTA CRUZ DE TENERIFE,
    1. Homicidios dolosos y asesinatos consumados,-25.0,
Isla de Gomera (La),
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Hierro (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Palma (La),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
38024 Llanos de Aridane (Los),
    1. Homicidios dolosos y asesinatos consumados,0.0,
Isla de Tenerife,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38001 Adeje,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38006 Arona,
    1. Homicidios dolosos y asesinatos consumados,100.0,
38011 Candelaria,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38017 Granadilla de Abona,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38019 Guía de Isora,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38020 Güímar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38022 Icod de los Vinos,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38026 Orotava (La),
    1. Homicidios dolosos y asesinatos consumados,0.0,
38028 Puerto de la Cruz,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38031 Realejos (Los),
    1. Homicidios dolosos y asesinatos consumados,0.0,
38023 San Cristóbal de La Laguna,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38035 San Miguel de Abona,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38038 Santa Cruz de Tenerife,
    1. Homicidios dolosos y asesinatos consumados,0.0,
38043 Tacoronte,
    1. Homicidios dolosos y asesinatos consumados,0.0,
CANTABRIA,
    1. Homicidios dolosos y asesinatos consumados,100.0,
39016 Camargo,
    1. Homicidios dolosos y asesinatos consumados,0.0,
39020 Castro-Urdiales,
    1. Homicidios dolosos y asesinatos consumados,100.0,
39052 Piélagos,
    1. Homicidios dolosos y asesinatos consumados,100.0,
39075 Santander,
    1. Homicidios dolosos y asesinatos consumados,100.0,
39087 Torrelavega,
    1. Homicidios dolosos y asesinatos consumados,0.0,
CASTILLA Y LEON,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de ÁVILA,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
05019 Ávila,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
Provincia de BURGOS,
    1. Homicidios dolosos y asesinatos consumados,100.0,
09018 Aranda de Duero,
    1. Homicidios dolosos y asesinatos consumados,0.0,
09059 Burgos,
    1. Homicidios dolosos y asesinatos consumados,100.0,
09219 Miranda de Ebro,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de LEÓN,
    1. Homicidios dolosos y asesinatos consumados,100.0,
24089 León,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
24115 Ponferrada,
    1. Homicidios dolosos y asesinatos consumados,0.0,
24142 San Andrés del Rabanedo,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de PALENCIA,
    1. Homicidios dolosos y asesinatos consumados,100.0,
34120 Palencia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de SALAMANCA,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
37274 Salamanca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de SEGOVIA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
40194 Segovia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de SORIA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
42173 Soria,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de VALLADOLID,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
47010 Arroyo de la Encomienda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
47076 Laguna de Duero,
    1. Homicidios dolosos y asesinatos consumados,0.0,
47085 Medina del Campo,
    1. Homicidios dolosos y asesinatos consumados,0.0,
47186 Valladolid,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
Provincia de ZAMORA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
49275 Zamora,
    1. Homicidios dolosos y asesinatos consumados,0.0,
CASTILLA - LA MANCHA,
    1. Homicidios dolosos y asesinatos consumados,-22.2,
Provincia de ALBACETE,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
02003 Albacete,
    1. Homicidios dolosos y asesinatos consumados,0.0,
02009 Almansa,
    1. Homicidios dolosos y asesinatos consumados,0.0,
02037 Hellín,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
02081 Villarrobledo,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de CIUDAD REAL,
    1. Homicidios dolosos y asesinatos consumados,-66.7,
13005 Alcázar de San Juan,
    1. Homicidios dolosos y asesinatos consumados,0.0,
13034 Ciudad Real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
13071 Puertollano,
    1. Homicidios dolosos y asesinatos consumados,0.0,
13082 Tomelloso,
    1. Homicidios dolosos y asesinatos consumados,0.0,
13087 Valdepeñas,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
Provincia de CUENCA,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
16078 Cuenca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de GUADALAJARA,
    1. Homicidios dolosos y asesinatos consumados,400.0,
19046 Azuqueca de Henares,
    1. Homicidios dolosos y asesinatos consumados,100.0,
19130 Guadalajara,
    1. Homicidios dolosos y asesinatos consumados,100.0,
Provincia de TOLEDO,
    1. Homicidios dolosos y asesinatos consumados,0.0,
45081 Illescas,
    1. Homicidios dolosos y asesinatos consumados,0.0,
45161 Seseña,
    1. Homicidios dolosos y asesinatos consumados,0.0,
45165 Talavera de la Reina,
    1. Homicidios dolosos y asesinatos consumados,0.0,
45168 Toledo,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
CATALUÑA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de BARCELONA,
    1. Homicidios dolosos y asesinatos consumados,-25.0,
08015 Badalona,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
08252 Barberà del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08019 Barcelona,
    1. Homicidios dolosos y asesinatos consumados,42.9,
08051 Castellar del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08056 Castelldefels,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08266 Cerdanyola del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08073 Cornellà de Llobregat,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08076 Esparreguera,
    1. Homicidios dolosos y asesinatos consumados,100.0,
08077 Esplugues de Llobregat,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08086 Les Franqueses del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08089 Gavà,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08096 Granollers,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08101 Hospitalet de Llobregat (L'),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08102 Igualada,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08112 Manlleu,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08113 Manresa,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08114 Martorell,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08118 Masnou (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
08121 Mataró,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08123 Molins de Rei,
    1. Homicidios dolosos y asesinatos consumados,100.0,
08124 Mollet del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08125 Montcada i Reixac,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08147 Olesa de Montserrat,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08163 Pineda de Mar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08169 Prat de Llobregat (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
08172 Premià de Mar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08180 Ripollet,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08184 Rubí,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08187 Sabadell,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08194 Sant Adrià de Besòs,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08196 Sant Andreu de la Barca,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08200 Sant Boi de Llobregat,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08205 Sant Cugat del Vallès,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
08211 Sant Feliu de Llobregat,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08217 Sant Joan Despí,
    1. Homicidios dolosos y asesinatos consumados,100.0,
08221 Sant Just Desvern,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08231 Sant Pere de Ribes,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08238 Sant Quirze del Vallès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08263 Sant Vicenç dels Horts,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08245 Santa Coloma de Gramenet,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08260 Santa Perpètua de Mogoda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08270 Sitges,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08279 Terrassa,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
08298 Vic,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08301 Viladecans,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08305 Vilafranca del Penedès,
    1. Homicidios dolosos y asesinatos consumados,0.0,
08307 Vilanova i la Geltrú,
    1. Homicidios dolosos y asesinatos consumados,100.0,
08219 Vilassar de Mar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de GIRONA,
    1. Homicidios dolosos y asesinatos consumados,133.3,
17015 Banyoles,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17023 Blanes,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17066 Figueres,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17079 Girona,
    1. Homicidios dolosos y asesinatos consumados,100.0,
17095 Lloret de Mar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17114 Olot,
    1. Homicidios dolosos y asesinatos consumados,100.0,
17117 Palafrugell,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17152 Roses,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17155 Salt,
    1. Homicidios dolosos y asesinatos consumados,0.0,
17160 Sant Feliu de Guíxols,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de LLEIDA,
    1. Homicidios dolosos y asesinatos consumados,0.0,
25120 Lleida,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de TARRAGONA,
    1. Homicidios dolosos y asesinatos consumados,80.0,
43014 Amposta,
    1. Homicidios dolosos y asesinatos consumados,100.0,
43037 Calafell,
    1. Homicidios dolosos y asesinatos consumados,0.0,
43038 Cambrils,
    1. Homicidios dolosos y asesinatos consumados,100.0,
43123 Reus,
    1. Homicidios dolosos y asesinatos consumados,0.0,
43905 Salou,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
43148 Tarragona,
    1. Homicidios dolosos y asesinatos consumados,100.0,
43155 Tortosa,
    1. Homicidios dolosos y asesinatos consumados,100.0,
43161 Valls,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
43163 Vendrell (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
43171 Vila-seca,
    1. Homicidios dolosos y asesinatos consumados,0.0,
COMUNITAT VALENCIANA,
    1. Homicidios dolosos y asesinatos consumados,112.5,
Provincia de ALICANTE/ALACANT,
    1. Homicidios dolosos y asesinatos consumados,75.0,
03009 Alcoy/Alcoi,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03011 L'Alfàs del Pi,
    1. Homicidios dolosos y asesinatos consumados,100.0,
03014 Alicante/Alacant,
    1. Homicidios dolosos y asesinatos consumados,-50.0,
03015 Almoradí,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03018 Altea,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03019 Aspe,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
03031 Benidorm,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03047 Calp,
    1. Homicidios dolosos y asesinatos consumados,100.0,
03050 Campello (el),
    1. Homicidios dolosos y asesinatos consumados,0.0,
03059 Crevillent,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03063 Dénia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03065 Elche/Elx,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03066 Elda,
    1. Homicidios dolosos y asesinatos consumados,100.0,
03079 Ibi,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03082 Jávea/Xàbia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03090 Mutxamel,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03093 Novelda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03099 Orihuela,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
03104 Petrer,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03902 Pilar de la Horadada,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03119 Sant Joan d'Alacant,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03121 Santa Pola,
    1. Homicidios dolosos y asesinatos consumados,0.0,
03133 Torrevieja,
    1. Homicidios dolosos y asesinatos consumados,100.0,
03139 Villajoyosa/Vila Joiosa (la),
    1. Homicidios dolosos y asesinatos consumados,100.0,
03140 Villena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de CASTELLÓN/CASTELLÓ,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
12009 Almazora/Almassora,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
12027 Benicarló,
    1. Homicidios dolosos y asesinatos consumados,0.0,
12032 Borriana/Burriana,
    1. Homicidios dolosos y asesinatos consumados,0.0,
12040 Castellón de la Plana/Castelló de la Plana,
    1. Homicidios dolosos y asesinatos consumados,0.0,
12084 Onda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
12126 Vall d'Uixó (la),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
12135 Vila-real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
12138 Vinaròs,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de VALENCIA/VALÈNCIA,
    1. Homicidios dolosos y asesinatos consumados,200.0,
46005 Alaquàs,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46013 Alboraia/Alboraya,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46021 Aldaia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46022 Alfafar,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46029 Algemesí,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46017 Alzira,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46070 Bétera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46078 Burjassot,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46083 Carcaixent,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46094 Catarroja,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46105 Cullera,
    1. Homicidios dolosos y asesinatos consumados,100.0,
46131 Gandia,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46147 Llíria,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46159 Manises,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46169 Mislata,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46171 Moncada,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46181 Oliva,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46184 Ontinyent,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46186 Paiporta,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46190 Paterna,
    1. Homicidios dolosos y asesinatos consumados,0.0,
46194 Picassent,
